brand,year,season,num,r,g,b,a
chanel,2019,spring,5,19,15,23,253
chanel,2019,spring,5,222,148,165,253
chanel,2019,spring,5,163,102,93,252
chanel,2020,fall,72,224,218,212,253
chanel,2020,fall,72,207,150,105,253
chanel,2020,fall,72,173,160,156,252
chanel,2020,fall,72,207,178,163,253
chanel,2018,fall,83,226,221,228,253
chanel,2018,fall,83,152,154,170,251
chanel,2018,fall,83,88,84,93,250
chanel,2018,fall,83,42,36,38,250
chanel,2018,fall,67,226,229,231,253
chanel,2018,fall,67,95,93,92,250
chanel,2018,fall,67,161,164,161,250
chanel,2018,fall,67,31,28,26,253
chanel,2018,spring,89,201,175,164,253
chanel,2018,spring,89,187,195,198,253
chanel,2018,spring,89,214,216,216,253
chanel,2018,spring,89,168,166,164,250
chanel,2018,fall,77,240,221,210,253
chanel,2018,fall,77,81,79,82,253
chanel,2018,fall,77,219,174,153,253
chanel,2018,fall,77,32,32,35,253
chanel,2021,spring,56,225,219,219,253
chanel,2021,spring,56,208,169,153,253
chanel,2021,spring,56,177,149,140,250
chanel,2021,spring,56,32,30,35,253
chanel,2021,spring,46,157,113,101,252
chanel,2021,spring,46,197,156,140,254
chanel,2021,spring,46,178,134,119,253
chanel,2021,spring,46,23,24,29,253
chanel,2019,fall,65,213,215,217,242
chanel,2019,fall,65,148,149,150,166
chanel,2019,fall,65,94,95,95,105
chanel,2019,fall,65,176,174,172,224
chanel,2018,spring,30,220,221,225,254
chanel,2018,spring,30,205,173,163,253
chanel,2018,spring,30,159,155,162,251
chanel,2018,spring,30,99,96,105,253
chanel,2018,spring,20,214,177,156,252
chanel,2018,spring,20,21,77,103,252
chanel,2018,spring,20,20,32,40,247
chanel,2018,spring,20,14,54,77,252
chanel,2018,spring,52,210,219,230,253
chanel,2018,spring,52,176,200,225,254
chanel,2018,spring,52,151,178,212,253
chanel,2018,spring,52,107,154,205,254
chanel,2018,spring,42,171,165,159,244
chanel,2018,spring,42,225,228,230,253
chanel,2018,spring,42,207,196,185,252
chanel,2018,spring,42,204,176,163,253
chanel,2019,spring,28,227,209,222,253
chanel,2019,spring,28,176,141,154,251
chanel,2019,spring,28,165,109,106,252
chanel,2019,spring,28,210,158,159,253
chanel,2019,spring,38,213,203,163,253
chanel,2019,spring,38,200,177,108,253
