brand,year,season,num,r,g,b,a
fendi,2021,spring,19,174,168,155,251
fendi,2021,spring,19,23,28,34,251
philosophy,2021,spring,20,219,221,223,253
philosophy,2021,spring,20,17,33,33,253
philosophy,2021,spring,20,165,162,157,252
philosophy,2021,spring,20,92,96,96,253
valentino,2021,spring,56,212,167,145,253
valentino,2021,spring,56,221,220,226,253
valentino,2021,spring,56,160,110,88,253
valentino,2021,spring,56,29,30,31,253
michael-kors-collection,2021,spring,26,203,203,201,253
michael-kors-collection,2021,spring,26,167,165,161,253
michael-kors-collection,2021,spring,26,106,101,95,252
michael-kors-collection,2021,spring,26,210,154,104,253
versace,2021,spring,65,119,141,199,254
versace,2021,spring,65,87,107,160,253
versace,2021,spring,65,207,162,214,254
versace,2021,spring,65,27,22,27,250
michael-kors-collection,2021,spring,36,92,51,39,252
michael-kors-collection,2021,spring,36,164,100,81,253
michael-kors-collection,2021,spring,36,41,52,75,253
michael-kors-collection,2021,spring,36,27,30,39,253
valentino,2021,spring,1,214,171,146,253
valentino,2021,spring,1,181,137,110,253
valentino,2021,spring,1,154,113,91,252
valentino,2021,spring,1,30,31,34,253
alexander-mcqueen,2021,spring,19,172,163,167,250
alexander-mcqueen,2021,spring,19,204,202,205,253
alexander-mcqueen,2021,spring,19,199,170,161,253
alexander-mcqueen,2021,spring,19,31,40,52,253
dsquared,2021,fall,17,38,31,29,241
dsquared,2021,fall,17,232,208,166,253
dsquared,2021,fall,17,91,92,88,240
dsquared,2021,fall,17,89,38,19,252
versace,2021,spring,75,157,85,45,253
versace,2021,spring,75,91,43,25,252
versace,2021,spring,75,200,224,250,253
versace,2021,spring,75,26,18,17,247
coach,2021,spring,18,201,179,144,252
coach,2021,spring,18,169,147,112,251
coach,2021,spring,18,137,117,83,252
coach,2021,spring,18,105,80,42,252
burberry-prorsum,2021,spring,39,210,215,223,253
burberry-prorsum,2021,spring,39,157,109,94,253
burberry-prorsum,2021,spring,39,30,31,35,253
burberry-prorsum,2021,spring,39,96,90,90,253
burberry-prorsum,2021,spring,29,36,31,27,253
burberry-prorsum,2021,spring,29,220,178,148,253
burberry-prorsum,2021,spring,29,155,84,46,253
burberry-prorsum,2021,spring,29,89,46,27,252
louis-vuitton,2021,spring,15,215,165,142,253
louis-vuitton,2021,spring,15,214,211,212,254
louis-vuitton,2021,spring,15,89,83,86,251
louis-vuitton,2021,spring,15,33,34,37,253
chanel,2021,spring,4,106,85,81,251
chanel,2021,spring,4,217,212,220,253
chanel,2021,spring,4,146,98,81,253
chanel,2021,spring,4,24,24,29,253
isabel-marant,2021,spring,14,161,105,91,252
isabel-marant,2021,spring,14,90,37,40,244
isabel-marant,2021,spring,14,224,90,102,253
isabel-marant,2021,spring,14,213,164,151,252
bevza,2021,fall,12,212,195,181,254
bevza,2021,fall,12,22,27,25,254
bevza,2021,fall,12,201,182,167,254
bevza,2021,fall,12,181,162,147,252
max-mara,2021,spring,4,227,196,184,254
max-mara,2021,spring,4,208,170,152,254
max-mara,2021,spring,4,181,150,139,253
max-mara,2021,spring,4,174,136,118,253
chanel,2021,spring,33,205,159,147,253
chanel,2021,spring,33,157,109,97,251
chanel,2021,spring,33,92,30,41,250
chanel,2021,spring,33,31,28,33,250
adam-lippes,2021,fall,7,159,5,27,253
adam-lippes,2021,fall,7,230,90,92,254
adam-lippes,2021,fall,7,205,22,46,254
adam-lippes,2021,fall,7,102,6,8,252
chanel,2021,spring,23,181,135,113,253
chanel,2021,spring,23,161,115,95,252
chanel,2021,spring,23,84,85,93,252
chanel,2021,spring,23,28,31,35,253
gucci,2021,spring,15,147,139,111,247
gucci,2021,spring,15,105,107,85,244
gucci,2021,spring,15,39,41,43,251
gucci,2021,spring,15,159,160,148,252
isabel-marant,2021,spring,2,227,203,224,253
isabel-marant,2021,spring,2,206,161,153,253
isabel-marant,2021,spring,2,157,101,97,253
isabel-marant,2021,spring,2,217,182,205,253
max-mara,2021,spring,37,230,231,236,253
max-mara,2021,spring,37,29,33,39,252
max-mara,2021,spring,37,147,150,158,254
max-mara,2021,spring,37,92,96,106,253
chanel,2021,spring,51,28,27,32,253
chanel,2021,spring,51,219,218,217,254
chanel,2021,spring,51,198,154,142,253
chanel,2021,spring,51,158,112,101,251
gucci,2021,spring,67,93,39,35,253
gucci,2021,spring,67,40,35,33,251
gucci,2021,spring,67,167,156,98,253
gucci,2021,spring,67,97,86,38,253
chanel,2021,spring,41,238,185,198,254
chanel,2021,spring,41,163,113,99,251
chanel,2021,spring,41,237,208,211,253
chanel,2021,spring,41,221,164,165,253
max-mara,2021,spring,27,218,165,149,253
max-mara,2021,spring,27,30,31,39,253
max-mara,2021,spring,27,223,222,226,253
max-mara,2021,spring,27,37,48,72,252
gucci,2021,spring,77,160,45,40,252
gucci,2021,spring,77,41,51,78,253
gucci,2021,spring,77,90,82,100,251
gucci,2021,spring,77,30,30,28,250
chloe,2021,spring,9,242,227,207,253
chloe,2021,spring,9,211,177,143,253
chloe,2021,spring,9,232,206,173,253
chloe,2021,spring,9,202,154,116,253
loewe,2021,spring,19,101,55,72,142
loewe,2021,spring,19,94,33,36,144
loewe,2021,spring,19,77,40,46,106
jenny-packham,2021,spring,10,239,215,212,253
jenny-packham,2021,spring,10,218,167,159,253
jenny-packham,2021,spring,10,174,151,156,250
jenny-packham,2021,spring,10,240,200,181,254
chloe,2021,spring,10,215,197,184,253
chloe,2021,spring,10,206,177,161,253
chloe,2021,spring,10,230,222,216,253
chloe,2021,spring,10,176,160,151,252
bevza,2021,spring,33,221,219,213,252
bevza,2021,spring,33,182,179,167,220
bevza,2021,spring,33,165,115,84,252
bevza,2021,spring,33,182,136,106,253
christian-dior,2021,spring,85,156,159,170,253
christian-dior,2021,spring,85,48,75,105,252
christian-dior,2021,spring,85,30,55,80,251
christian-dior,2021,spring,85,88,94,108,252
bevza,2021,spring,23,205,169,155,253
bevza,2021,spring,23,160,111,88,252
bevza,2021,spring,23,32,41,26,253
bevza,2021,spring,23,182,136,117,253
calvin-luo,2021,spring,5,97,77,76,251
calvin-luo,2021,spring,5,73,52,45,250
calvin-luo,2021,spring,5,43,38,34,253
christian-dior,2021,spring,9,223,179,145,248
christian-dior,2021,spring,9,206,153,111,251
christian-dior,2021,spring,9,235,200,173,250
christian-dior,2021,spring,9,154,110,80,241
burberry-prorsum,2021,spring,5,219,199,180,254
burberry-prorsum,2021,spring,5,87,89,91,253
burberry-prorsum,2021,spring,5,25,51,89,253
burberry-prorsum,2021,spring,5,22,28,37,253
michael-kors-collection,2021,spring,44,220,175,147,253
michael-kors-collection,2021,spring,44,157,157,157,253
michael-kors-collection,2021,spring,44,108,107,105,253
michael-kors-collection,2021,spring,44,41,39,30,239
vera-wang,2021,spring,17,182,135,118,254
vera-wang,2021,spring,17,95,73,110,251
vera-wang,2021,spring,17,157,108,89,253
vera-wang,2021,spring,17,14,10,17,253
michael-kors-collection,2021,spring,54,161,103,79,253
michael-kors-collection,2021,spring,54,115,69,52,252
michael-kors-collection,2021,spring,54,87,46,32,253
michael-kors-collection,2021,spring,54,48,26,15,253
versace,2021,spring,17,215,43,33,254
versace,2021,spring,17,157,105,88,253
